timestamp,candidate,probability,hasKalshi
2026-01-30T03:36:48.597448Z,Daniel Biss,67.4,true
2026-01-30T03:36:48.597448Z,Kat Abugazaleh,19.8,true
2026-01-30T03:36:48.597448Z,Laura Fine,10.4,true
2026-01-30T03:36:48.597448Z,Mike Simmons,0.8,true
2026-01-30T03:36:48.597448Z,Bushra Amiwala,0.8,false
2026-01-30T03:36:48.597448Z,Phil Andrew,0.3,false
2026-01-30T03:37:01.736537Z,Daniel Biss,67.4,true
2026-01-30T03:37:01.736537Z,Kat Abugazaleh,19.8,true
2026-01-30T03:37:01.736537Z,Laura Fine,10.4,true
2026-01-30T03:37:01.736537Z,Mike Simmons,0.8,true
2026-01-30T03:37:01.736537Z,Bushra Amiwala,0.8,false
2026-01-30T03:37:01.736537Z,Phil Andrew,0.3,false
2026-01-30T03:37:49.476841Z,Daniel Biss,67.5,true
2026-01-30T03:37:49.476841Z,Kat Abugazaleh,19.8,true
2026-01-30T03:37:49.476841Z,Laura Fine,10.4,true
2026-01-30T03:37:49.476841Z,Mike Simmons,0.8,true
2026-01-30T03:37:49.476841Z,Bushra Amiwala,0.8,false
2026-01-30T03:37:49.476841Z,Phil Andrew,0.3,false
2026-01-30T03:38:49.703882Z,Daniel Biss,67.4,true
2026-01-30T03:38:49.703882Z,Kat Abugazaleh,19.8,true
2026-01-30T03:38:49.703882Z,Laura Fine,10.4,true
2026-01-30T03:38:49.703882Z,Mike Simmons,0.8,true
2026-01-30T03:38:49.703882Z,Bushra Amiwala,0.8,false
2026-01-30T03:38:49.703882Z,Phil Andrew,0.3,false
2026-01-30T03:39:49.931007Z,Daniel Biss,67.5,true
2026-01-30T03:39:49.931007Z,Kat Abugazaleh,19.8,true
2026-01-30T03:39:49.931007Z,Laura Fine,10.4,true
2026-01-30T03:39:49.931007Z,Mike Simmons,0.8,true
2026-01-30T03:39:49.931007Z,Bushra Amiwala,0.8,false
2026-01-30T03:39:49.931007Z,Phil Andrew,0.3,false
2026-01-30T03:39:59.286103Z,Daniel Biss,67.5,true
2026-01-30T03:39:59.286103Z,Kat Abugazaleh,19.8,true
2026-01-30T03:39:59.286103Z,Laura Fine,10.4,true
2026-01-30T03:39:59.286103Z,Mike Simmons,0.8,true
2026-01-30T03:39:59.286103Z,Bushra Amiwala,0.8,false
2026-01-30T03:39:59.286103Z,Phil Andrew,0.3,false
2026-01-30T03:40:00.888822Z,Daniel Biss,67.5,true
2026-01-30T03:40:00.888822Z,Kat Abugazaleh,19.8,true
2026-01-30T03:40:00.888822Z,Laura Fine,10.4,true
2026-01-30T03:40:00.888822Z,Mike Simmons,0.8,true
2026-01-30T03:40:00.888822Z,Bushra Amiwala,0.8,false
